omega*t					L0, analytically					L0, numerically					Lprime					( Lprime - L0 ) / L0					dL_f/L0					dL_dot/L0
4.83805268652828					7.95985146428528e+32					7.9598514441357e+32					7.95985819774418e+32					8.48459111884745e-07					8.48459522378178e-07					-4.99438585609753e-13
4.90088453960008					7.95985146428528e+32					7.9598514441357e+32					7.95987931034193e+32					3.50084501297857e-06					3.50084529468126e-06					-3.82583174514356e-13
4.96371639267187					7.95985146428528e+32					7.9598514441357e+32					7.95989998347366e+32					6.09802058573301e-06					6.09802064538278e-06					-2.59694198215582e-13
5.02654824574367					7.95985146428528e+32					7.9598514441357e+32					7.95991989110876e+32					8.59902644425215e-06					8.59902656772597e-06					-1.32709689284694e-13
5.08938009881546					7.95985146428528e+32					7.9598514441357e+32					7.95993871929539e+32					1.09644206681156e-05					1.09644207042875e-05					-3.63226927367328e-15
5.15221195188726					7.95985146428528e+32					7.9598514441357e+32					7.95995617110342e+32					1.31568997807853e-05					1.31568993765158e-05					1.25502433796846e-13
5.21504380495906					7.95985146428528e+32					7.9598514441357e+32					7.95997197129755e+32					1.51418858374981e-05					1.51418858860213e-05					2.52657888509052e-13
5.27787565803085					7.95985146428528e+32					7.9598514441357e+32					7.9599858707134e+32					1.68880761965861e-05					1.68880758097865e-05					3.75828777389523e-13
5.34070751110265					7.95985146428528e+32					7.9598514441357e+32					7.95999765014038e+32					1.83679313249982e-05					1.83679306895757e-05					4.93072621950965e-13
5.40353936417444					7.95985146428528e+32					7.9598514441357e+32					7.96000712381107e+32					1.95581131710271e-05					1.9558112329927e-05					6.02540416725099e-13
5.46637121724624					7.95985146428528e+32					7.9598514441357e+32					7.96001414231822e+32					2.04398516314494e-05					2.0439850855383e-05					7.02505789150925e-13
5.52920307031804					7.95985146428528e+32					7.9598514441357e+32					7.96001859497989e+32					2.09992416769639e-05					2.09992407226776e-05					7.91392225637113e-13
5.59203492338983					7.95985146428528e+32					7.9598514441357e+32					7.96002041157142e+32					2.1227460952806e-05					2.1227460019432e-05					8.67797933987328e-13
5.65486677646163					7.95985146428528e+32					7.9598514441357e+32					7.96001956344576e+32					2.1120910515287e-05					2.11209095910156e-05					9.30517950532138e-13
5.71769862953342					7.95985146428528e+32					7.9598514441357e+32					7.96001606398038e+32					2.0681270981097e-05					2.06812698013262e-05					9.78563143103856e-13
5.78053048260522					7.95985146428528e+32					7.9598514441357e+32					7.96000996835911e+32					1.99154751226383e-05					1.99154740324728e-05					1.0111758103539e-12
5.84336233567702					7.95985146428528e+32					7.9598514441357e+32					7.96000137271709e+32					1.88356004435373e-05					1.88355993412062e-05					1.02784163102986e-12
5.90619418874881					7.95985146428528e+32					7.9598514441357e+32					7.95999041261172e+32					1.74586770872567e-05					1.74586759964855e-05					1.0282977751823e-12
5.96902604182061					7.95985146428528e+32					7.9598514441357e+32					7.95997726089129e+32					1.58064200668028e-05					1.5806418901992e-05					1.01253704914011e-12
6.0318578948924					7.95985146428528e+32					7.9598514441357e+32					7.95996212496351e+32					1.39048861139029e-05					1.39048851391209e-05					9.8080800897118e-13
6.0946897479642					7.95985146428528e+32					7.9598514441357e+32					7.95994524353434e+32					1.17840639736052e-05					1.17840630312269e-05					9.33611040596173e-13
6.15752160103599					7.95985146428528e+32					7.9598514441357e+32					7.95992688283444e+32					9.47740033449491e-06					9.4773992098747e-06					8.71690468402985e-13
6.22035345410779					7.95985146428528e+32					7.9598514441357e+32					7.95990733241826e+32					7.02127206214583e-06					7.02127114145525e-06					7.96022816785839e-13
